t,type,source,target,importance_xi,cluster
80,NODE,48,,0.3,0
81,NODE,0,,0.0039,0
81,NODE,1,,0.0039,0
81,NODE,2,,0.0039,0
81,NODE,3,,0.0039,0
81,NODE,7,,0.0039,0
81,NODE,9,,0.0039,0
81,NODE,23,,0.0039,0
81,NODE,48,,0.447,0
81,NODE,77,,0.0039,0
81,EDGE,0,1,,
81,EDGE,0,1,,
81,EDGE,1,2,,
81,EDGE,0,1,,
81,EDGE,1,2,,
81,EDGE,2,3,,
81,EDGE,0,1,,
81,EDGE,1,2,,
81,EDGE,2,3,,
81,EDGE,3,7,,
81,EDGE,0,1,,
81,EDGE,1,2,,
81,EDGE,2,3,,
81,EDGE,3,7,,
81,EDGE,7,9,,
81,EDGE,0,1,,
81,EDGE,1,2,,
81,EDGE,2,3,,
81,EDGE,3,7,,
81,EDGE,7,9,,
81,EDGE,9,23,,
81,EDGE,0,1,,
81,EDGE,1,2,,
81,EDGE,2,3,,
81,EDGE,3,7,,
81,EDGE,7,9,,
81,EDGE,9,23,,
81,EDGE,23,48,,
81,EDGE,0,1,,
81,EDGE,1,2,,
81,EDGE,2,3,,
81,EDGE,3,7,,
81,EDGE,7,9,,
81,EDGE,9,23,,
81,EDGE,23,48,,
81,EDGE,48,77,,
82,NODE,0,,0.0119,0
82,NODE,1,,0.0119,0
82,NODE,2,,0.0119,0
82,NODE,3,,0.0119,0
82,NODE,4,,0.0,0
82,NODE,5,,0.0,0
82,NODE,6,,0.0,0
82,NODE,7,,0.0119,0
82,NODE,8,,0.0,0
82,NODE,9,,0.0119,0
82,NODE,10,,0.0001,0
82,NODE,11,,0.0,0
82,NODE,12,,0.0,0
82,NODE,13,,0.0,0
82,NODE,14,,0.0001,0
82,NODE,15,,0.0,0
82,NODE,16,,0.0,0
82,NODE,17,,0.0,0
82,NODE,18,,0.0,0
82,NODE,19,,0.0,0
82,NODE,20,,0.0,0
82,NODE,21,,0.0,0
82,NODE,22,,0.0,0
82,NODE,23,,0.0119,0
82,NODE,24,,0.0,0
82,NODE,25,,0.0,0
82,NODE,26,,0.0,0
82,NODE,27,,0.0,0
82,NODE,28,,0.0001,0
82,NODE,29,,0.0,0
82,NODE,30,,0.0,0
82,NODE,31,,0.0,0
82,NODE,32,,0.0,0
82,NODE,33,,0.0,0
82,NODE,34,,0.0,0
82,NODE,36,,0.0001,0
82,NODE,37,,0.0,0
82,NODE,38,,0.0001,0
82,NODE,39,,0.0001,0
82,NODE,40,,0.0,0
82,NODE,41,,0.0,0
82,NODE,42,,0.0001,0
82,NODE,43,,0.0,0
82,NODE,44,,0.0,0
82,NODE,45,,0.0,0
82,NODE,46,,0.0001,0
82,NODE,47,,0.0,0
82,NODE,48,,0.6662,0
82,NODE,49,,0.0,0
