
======================================================================================
RUN STARTED: Sun Dec 21 15:33:29 2025
======================================================================================
 time |   V   |  <k>  | Δ<k> |  L  | ΔL |    Φ    |    Ψ    |    Ω    | acc%
  100 |     6 |  2.50 | +1.50 |   4 |  +2 |  0.4000 |  0.1667 |  0.0000 | 4.00%
  200 |     9 |  3.00 | +0.50 |   4 |  +0 |  0.3182 |  0.3333 |  0.0000 | 3.50%
  300 |    12 |  3.50 | +0.50 |   6 |  +2 |  0.2500 |  0.3636 |  0.0000 | 3.33%
  400 |    26 |  4.46 | +0.96 |   8 |  +2 |  0.0952 |  0.5455 |  0.0000 | 6.00%
  500 |    50 |  5.10 | +0.64 |   9 |  +1 |  0.1290 |  0.5000 |  0.0000 | 9.60%
  600 |    82 |  5.73 | +0.63 |   9 |  +0 |  0.0909 |  0.5843 |  0.0000 | 13.33%
  700 |   121 |  6.11 | +0.38 |  10 |  +1 |  0.0536 |  0.4706 |  0.0000 | 17.00%
  800 |   165 |  6.46 | +0.35 |  10 |  +0 |  0.0417 |  0.6051 |  0.0000 | 20.38%
  900 |   218 |  6.84 | +0.38 |  11 |  +1 |  0.0277 |  0.7537 |  0.2500 | 24.00%
 1000 |   269 |  7.13 | +0.29 |  11 |  +0 |  0.0239 |  0.9023 |  0.5714 | 26.70%
 1100 |   329 |  7.31 | +0.18 |  12 |  +1 |  0.0308 |  0.6861 |  0.2000 | 29.73%
 1200 |   386 |  7.50 | +0.19 |  12 |  +0 |  0.0244 |  0.7780 |  0.5714 | 32.00%
 1300 |   436 |  7.67 | +0.17 |  14 |  +2 |  0.0252 |  0.6523 |  0.3333 | 33.38%
 1400 |   505 |  7.83 | +0.16 |  14 |  +0 |  0.0191 |  0.7330 |  0.5714 | 35.93%
 1500 |   565 |  7.93 | +0.10 |  14 |  +0 |  0.0227 |  0.7760 |  0.7818 | 37.53%
 1600 |   622 |  8.03 | +0.10 |  14 |  +0 |  0.0202 |  0.8081 |  0.8137 | 38.75%
 1700 |   672 |  8.10 | +0.06 |  14 |  +0 |  0.0186 |  0.8345 |  0.8447 | 39.41%
 1800 |   734 |  8.16 | +0.07 |  14 |  +0 |  0.0185 |  0.8622 |  0.8776 | 40.67%
 1900 |   799 |  8.23 | +0.07 |  15 |  +1 |  0.0183 |  0.6740 |  0.6138 | 41.95%
 2000 |   857 |  8.34 | +0.11 |  15 |  +0 |  0.0183 |  0.7276 |  0.6740 | 42.75%

Run complete.
Total steps: 2000
Accepted: 855, Rejected: 1145
Acceptance ratio: 0.427
Wall time: 37.68 s

======================================================================================
RUN STARTED: Sun Dec 21 15:37:23 2025
======================================================================================
 time |   V   |  <k>  | Δ<k> |  L  | ΔL |    Φ    |    Ψ    |    Ω    | acc%
  100 |     6 |  2.50 | +1.50 |   4 |  +2 |  0.4000 |  0.1667 |  0.0000 | 4.00%
  200 |     9 |  3.00 | +0.50 |   4 |  +0 |  0.3182 |  0.3333 |  0.0000 | 3.50%
  300 |    12 |  3.50 | +0.50 |   6 |  +2 |  0.2500 |  0.3636 |  0.0000 | 3.33%
  400 |    26 |  4.46 | +0.96 |   8 |  +2 |  0.0952 |  0.5455 |  0.0000 | 6.00%
  500 |    50 |  5.10 | +0.64 |   9 |  +1 |  0.1290 |  0.5000 |  0.0000 | 9.60%
  600 |    82 |  5.73 | +0.63 |   9 |  +0 |  0.0909 |  0.5843 |  0.0000 | 13.33%
  700 |   121 |  6.11 | +0.38 |  10 |  +1 |  0.0536 |  0.4706 |  0.0000 | 17.00%
  800 |   165 |  6.46 | +0.35 |  10 |  +0 |  0.0417 |  0.6051 |  0.0000 | 20.38%
  900 |   218 |  6.84 | +0.38 |  11 |  +1 |  0.0277 |  0.7537 |  0.2500 | 24.00%
 1000 |   269 |  7.13 | +0.29 |  11 |  +0 |  0.0239 |  0.9023 |  0.5714 | 26.70%
 1100 |   329 |  7.31 | +0.18 |  12 |  +1 |  0.0308 |  0.6861 |  0.2000 | 29.73%
 1200 |   386 |  7.50 | +0.19 |  12 |  +0 |  0.0244 |  0.7780 |  0.5714 | 32.00%
 1300 |   436 |  7.67 | +0.17 |  14 |  +2 |  0.0252 |  0.6523 |  0.3333 | 33.38%
 1400 |   505 |  7.83 | +0.16 |  14 |  +0 |  0.0191 |  0.7330 |  0.5714 | 35.93%
 1500 |   565 |  7.93 | +0.10 |  14 |  +0 |  0.0227 |  0.7760 |  0.7818 | 37.53%
 1600 |   622 |  8.03 | +0.10 |  14 |  +0 |  0.0202 |  0.8081 |  0.8137 | 38.75%
 1700 |   672 |  8.10 | +0.06 |  14 |  +0 |  0.0186 |  0.8345 |  0.8447 | 39.41%
 1800 |   734 |  8.16 | +0.07 |  14 |  +0 |  0.0185 |  0.8622 |  0.8776 | 40.67%
 1900 |   799 |  8.23 | +0.07 |  15 |  +1 |  0.0183 |  0.6740 |  0.6138 | 41.95%
 2000 |   857 |  8.34 | +0.11 |  15 |  +0 |  0.0183 |  0.7276 |  0.6740 | 42.75%
 2100 |   918 |  8.40 | +0.06 |  15 |  +0 |  0.0189 |  0.7590 |  0.7078 | 43.62%
 2200 |   967 |  8.48 | +0.08 |  15 |  +0 |  0.0170 |  0.7961 |  0.7412 | 43.86%
 2300 |  1027 |  8.55 | +0.07 |  16 |  +1 |  0.0151 |  0.8496 |  0.7760 | 44.57%
 2400 |  1085 |  8.59 | +0.05 |  16 |  +0 |  0.0166 |  0.8475 |  0.7756 | 45.12%
 2500 |  1140 |  8.63 | +0.03 |  16 |  +0 |  0.0155 |  0.8422 |  0.7766 | 45.52%
 2600 |  1188 |  8.65 | +0.02 |  16 |  +0 |  0.0148 |  0.8367 |  0.7703 | 45.62%
 2700 |  1241 |  8.69 | +0.04 |  16 |  +0 |  0.0142 |  0.8466 |  0.7811 | 45.89%
